seq,book,c,net,err
3000.0,1.1111111111111112E-4,6.0,1000.0,13.613236696651418
3000.0,1.1111111111111112E-4,6.0,1500.0,13.624773901753226
3000.0,1.1111111111111112E-4,6.0,2000.0,13.654643488235589
3000.0,1.1111111111111112E-4,6.0,2500.0,13.690321943658772
3000.0,1.1111111111111112E-4,6.0,3000.0,13.728198293262958
3000.0,1.1111111111111112E-4,6.0,3500.0,13.767663508135378
3000.0,1.1111111111111112E-4,6.0,4000.0,13.80816601314219
3000.0,1.1111111111111112E-4,6.0,4500.0,13.849258837360177
3000.0,1.1111111111111112E-4,6.0,5000.0,13.89115982363048
3000.0,1.1111111111111112E-4,6.0,5500.0,13.933470644816461
3000.0,1.1111111111111112E-4,6.0,6000.0,13.976150841304971
3000.0,1.1111111111111112E-4,6.0,6500.0,14.019296858845166
3000.0,1.1111111111111112E-4,6.0,7000.0,14.0628545560805
3000.0,1.1111111111111112E-4,6.0,7500.0,14.106521129756782
3000.0,1.1111111111111112E-4,6.0,8000.0,14.150405162237435
3000.0,1.1111111111111112E-4,6.0,8500.0,14.194482549788987
3000.0,1.1111111111111112E-4,6.0,9000.0,14.23873761909514
3000.0,1.1111111111111112E-4,6.0,9500.0,14.283150483809578
3000.0,1.1111111111111112E-4,6.0,10000.0,14.327683081382949
3000.0,1.1111111111111112E-4,7.0,0.0,12.844001973065856
3000.0,1.1111111111111112E-4,7.0,500.0,12.829160958592453
3000.0,1.1111111111111112E-4,7.0,1000.0,12.819530567619287
3000.0,1.1111111111111112E-4,7.0,1500.0,12.826159975137553
3000.0,1.1111111111111112E-4,7.0,2000.0,12.854168254343891
3000.0,1.1111111111111112E-4,7.0,2500.0,12.888746211786206
3000.0,1.1111111111111112E-4,7.0,3000.0,12.925741798793117
3000.0,1.1111111111111112E-4,7.0,3500.0,12.964643385747468
3000.0,1.1111111111111112E-4,7.0,4000.0,13.00474972053238
3000.0,1.1111111111111112E-4,7.0,4500.0,13.045823795533597
3000.0,1.1111111111111112E-4,7.0,5000.0,13.087510271993596
3000.0,1.1111111111111112E-4,7.0,5500.0,13.129884636717998
3000.0,1.1111111111111112E-4,7.0,6000.0,13.1726997863164
3000.0,1.1111111111111112E-4,7.0,6500.0,13.215796941032561
3000.0,1.1111111111111112E-4,7.0,7000.0,13.259424822005405
3000.0,1.1111111111111112E-4,7.0,7500.0,13.303386299736708
3000.0,1.1111111111111112E-4,7.0,8000.0,13.3475359303293
3000.0,1.1111111111111112E-4,7.0,8500.0,13.391852706147139
3000.0,1.1111111111111112E-4,7.0,9000.0,13.436344577447546
3000.0,1.1111111111111112E-4,7.0,9500.0,13.481018820173098
3000.0,1.1111111111111112E-4,7.0,10000.0,13.525987279782411
3000.0,1.1111111111111112E-4,8.0,0.0,12.455912728294782
3000.0,1.1111111111111112E-4,8.0,500.0,12.439087060868465
3000.0,1.1111111111111112E-4,8.0,1000.0,12.42714305339636
3000.0,1.1111111111111112E-4,8.0,1500.0,12.430708981525939
3000.0,1.1111111111111112E-4,8.0,2000.0,12.456758638569502
3000.0,1.1111111111111112E-4,8.0,2500.0,12.490748401767643
3000.0,1.1111111111111112E-4,8.0,3000.0,12.527131323294999
3000.0,1.1111111111111112E-4,8.0,3500.0,12.565649248752317
3000.0,1.1111111111111112E-4,8.0,4000.0,12.605581892022753
3000.0,1.1111111111111112E-4,8.0,4500.0,12.646675574965789
3000.0,1.1111111111111112E-4,8.0,5000.0,12.688408902352073
3000.0,1.1111111111111112E-4,8.0,5500.0,12.730773172574409
3000.0,1.1111111111111112E-4,8.0,6000.0,12.773732433629789
3000.0,1.1111111111111112E-4,8.0,6500.0,12.817186925104789
3000.0,1.1111111111111112E-4,8.0,7000.0,12.860907207118975
3000.0,1.1111111111111112E-4,8.0,7500.0,12.905099297251187
3000.0,1.1111111111111112E-4,8.0,8000.0,12.94949250942537
3000.0,1.1111111111111112E-4,8.0,8500.0,12.994182471115211
3000.0,1.1111111111111112E-4,8.0,9000.0,13.039052157003269
3000.0,1.1111111111111112E-4,8.0,9500.0,13.084032878136645
3000.0,1.1111111111111112E-4,8.0,10000.0,13.12926991265648
